; CSV, generated by libsigrok4DSL 0.2.0 on Mon Dec 28 15:50:45 2020
; Channels (6/16)
; Sample rate: 10 MHz
; Sample count: 17.179832320 G Samples
Time(s), 0, 1, 2, 3, 4, 5
34.1225398,1,0,0,0,0,0
34.1727709,0,0,0,0,0,0
34.2228402,1,0,0,0,0,0
34.2729199,0,0,0,0,0,0
34.323002,1,0,0,0,0,0
34.373227,0,0,0,0,0,0
34.4233018,1,0,0,0,0,0
34.4733797,0,0,0,0,0,0
34.5234429,1,0,0,0,0,0
34.5736603,0,0,0,0,0,0
34.6237388,1,0,0,0,0,0
34.6738153,0,0,0,0,0,0
34.7238952,1,0,0,0,0,0
34.7741256,0,0,0,0,0,0
34.8241903,1,0,0,0,0,0
34.8742592,0,0,0,0,0,0
34.92433,1,0,0,0,0,0
34.9745453,0,0,0,0,0,0
35.0246099,1,0,0,0,0,0
35.0746923,0,0,0,0,0,0
35.1247848,1,0,0,0,0,0
35.1750265,0,0,0,0,0,0
35.2251139,1,0,0,0,0,0
35.2752009,0,0,0,0,0,0
35.325286,1,0,0,0,0,0
35.375527,0,0,0,0,0,0
35.4256158,1,0,0,0,0,0
35.4757061,0,0,0,0,0,0
35.5257958,1,0,0,0,0,0
35.5760478,0,0,0,0,0,0
35.6261378,1,0,0,0,0,0
35.6762349,0,0,0,0,0,0
35.7263371,1,0,0,0,0,0
35.7765843,0,0,0,0,0,0
35.8266677,1,0,0,0,0,0
35.8767558,0,0,0,0,0,0
35.9268439,1,0,0,0,0,0
35.977085,0,0,0,0,0,0
36.0271693,1,0,0,0,0,0
36.0772649,0,0,0,0,0,0
36.1273608,1,0,0,0,0,0
36.1776135,0,0,0,0,0,0
36.227711,1,0,0,0,0,0
36.2777969,0,0,0,0,0,0
36.3279045,1,0,0,0,0,0
36.3781495,0,0,0,0,0,0
36.4282468,1,0,0,0,0,0
36.4783352,0,0,0,0,0,0
36.5284311,1,0,0,0,0,0
36.5786682,0,0,0,0,0,0
36.6287492,1,0,0,0,0,0
36.6788413,0,0,0,0,0,0
36.7289443,1,0,0,0,0,0
36.7792014,0,0,0,0,0,0
36.8293013,1,0,0,0,0,0
36.8794056,0,0,0,0,0,0
36.9295008,1,0,0,0,0,0
36.9797605,0,0,0,0,0,0
37.0298692,1,0,0,0,0,0
37.0799642,0,0,0,0,0,0
37.1300627,1,0,0,0,0,0
37.1803057,0,0,0,0,0,0
37.2303896,1,0,0,0,0,0
37.2804819,0,0,0,0,0,0
37.330579,1,0,0,0,0,0
37.3808247,0,0,0,0,0,0
37.4309173,1,0,0,0,0,0
37.4810258,0,0,0,0,0,0
37.5311201,1,0,0,0,0,0
37.5813696,0,0,0,0,0,0
